#ispell	par end	match	parname(s)	
MNm	ka	ka	mat/ka__n
MNm	oda	oda	w/oda__n
MmN	oda	oda	w/oda__n
MNn	ka	ka	rze/ka__n
MnN	ka	ka	rze/ka__n
MNn	a	oda	od/a__n
MnN	a	oda	od/a__n
MNn	sta	sta	pa/sta__n
MnN	sta	sta	pa/sta__n
ALNm	cia	cia	cio/cia__n
bXxY	y	ry	nie__prefix,chor/y__adj
bXxY	y	wy	nie__prefix,martw/y__adj
bXxY	sny	sny	nie__prefix,żało/sny__adj
