AAA	BBB	Task	Title	Quantity	Extra mentors
Tatar	Bashkir	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw
Turkish	Tatar	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw
Romanian	Aromanian	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw
Kazakh	Kyrgyz	28	Manually create a transfer lexicon from a word list in .dix format	40	unhammer,
Finnish	Estonian	28	Manually create a transfer lexicon from a word list in .dix format	40	nvohra
Hindi	Urdu				
					
Persian	Tajik	29	Proofread an existing dictionary	20	jnw
Hindi	Urdu	29	Proofread an existing dictionary	20	nvohra
					
					
Avar	Russian	30	Extract test sentences from a grammar	1	
					
					
Kazakh		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Tatar		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Kyrgyz		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Uzbek		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Kumyk		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Nogay		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Bashkir		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Avar		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Turkmen		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Maltese		23	Hand-correct the spelling of 50 words	5	jnw,flammie
Armenian		23	Hand-correct the spelling of 50 words	5	jnw,flammie
					
					
					
					
					
					
Khmer		33	Write a dictionary-based tokeniser for Asian languages	6	
Thai		33	Write a dictionary-based tokeniser for Asian languages	6	
Chinese		33	Write a dictionary-based tokeniser for Asian languages	6	
Lao		33	Write a dictionary-based tokeniser for Asian languages	6	
Burmese		33	Write a dictionary-based tokeniser for Asian languages	6	
Dzongkha		33	Write a dictionary-based tokeniser for Asian languages	6	
Vietnamese		33	Write a dictionary-based tokeniser for Asian languages	6	
					
					
Windows		24	Document how to install a voikko spellchecker for LibreOffice	1	
OS X		24	Document how to install a voikko spellchecker for LibreOffice	1	
Fedora		24	Document how to install a voikko spellchecker for LibreOffice	1	
Ubuntu/Debian		24	Document how to install a voikko spellchecker for LibreOffice		
					
inittab		56	test and document init scripts for apertium-apy	1	
systemd		56	test and document init scripts for apertium-apy	1	
upstart		56	test and document init scripts for apertium-apy	1	
					
					
					
					
					
					
					
					
					
					
					
