accession	accesión (n.f) 
accident	accidente (n.m) 
accidental	accidental (adj.mf) 
accidentally	accidentalmente (adv) 
accident	siniestro (n.m) 
acclaim	aclamar (vblex) 
acclamation	aclamación (n.f) 
acclimate	aclimatar (vblex) 
acclimatisation	aclimatación (n.f) 
acclimatise	ambientar (vblex) 
accommodate	acomodar (vblex) 
accommodation	alojamiento (n.m) 
accommodation	hospedaje (n.m) 
accompaniment	acompañamiento (n.m) 
accompany	acompañar (vblex) 
accompanying	acompañante (adj) 
accomplish	cumplir (vblex) 
accord	acuerdo (n.m) 
accordingly	consiguientemente (adv) 
according	según (pr) 
according_to	conforme_a (pr) 
according_to	según (pr) 
accountability	imputabilidad (n.f) 
accountancy	contabilidad (n.f) 
accountant	contable (n.mf) 
account	cuenta (n.f) 
accounting	contabilidad (n.f) 
account_number	número#_de_cuenta (n.m) 
account	relación (n.f) 
accredit	acreditar (vblex) 
accretion	acreción (n.f) 
acculturation	aculturación (n.f) 
accumulate	acumular (vblex) 
accumulation	acumulación (n.f) 
accumulator	acumulador (n.m) 
accuracy	exactitud (n.f) 
accurate	cuidadoso (adj) 
accurately	con_exactitud (adv) 
accuse	acusar (vblex) 
accustom	acostumbrar (vblex) 
AC/DC (np) 	AC/DC (np.al.m) 
ace	as (n.m) 
Acebes (np) 	Acebes (np.cog.mf) 
Acebo (np) 	Acebo (np.cog.mf) 
Aceline (np) 	Aceline (np.ant) 
acephalous	acéfalo (adj) 
acerbity	acerbidad (n.f) 
acetabulum	acetábulo (n.m) 
acetate	acetato (n.m) 
acetic	acético (adj) 
acetone	acetona (n.f) 
acetophenone	acetofenona (n.f) 
acetylcholine	acetilcolina (n.f) 
achieve	alcanzar (vblex) 
achieve	conseguir (vblex) 
achievement	consecución (n.f) 
Achille (np) 	Achille (np.ant) 
Achilles (np) 	Aquiles (np.ant) 
a_chip_off_the_old_block	de_tal_palo,_tal_astilla (ij) 
achromatic	acromático (adj) 
acid	ácido (n.m) 
acidic	acídico (adj) 
acidification	acidificación (n.f) 
acidify	acidificar (vblex) 
acidity	acidez (n.f) 
acidly	agriamente (adv) 
acknowledge	reconocer (vblex) 
acme	acmé (n.m) 
acne	acné (n.m) 
aconite	acónito (n.m) 
acorn	bellota (n.f) 
Acosta (np) 	Acosta (np.cog.mf) 
acoustic	acústico (adj) 
acoustically	acústicamente (adv) 
acoustics	acústica (n.f) 
acquire	adquirir (vblex) 
acquisition	adquisición (n.f) 
