kaz,48.9,73.2
kir,42,75
uzb,40,67
kaa,53,49
eus,43.3,-2.5
glg,42.7,-8
bre,48.3,-3.4
por,40,-8.5
fin,62,25
rus,57,39
tur,40,31
mlt,35.9,14.4
tat,56,60
chv,56,47.5
ukr,50,30
spa,41,-3
cat,41,0.5
fra,47,2.5
ita,42.5,13
isl,64,-19
dan,55.5,11.5
swe,59,15
cym,52.5,-4
ara,28,36
arg,42.7,-0.3
ast,43,-6
afr,-32,22
bul,43,35
bos,44,18
nld,52,5.5
ind,119,-5
mkd,41.5,22
ron,46,25
oci,44,2
sme,69,23
nno,61,7
nob,60,11
hin,28,78
urd,25,68
slv,49,19
hbs,45.5,19
srp,44,21
hrv,46,16
eng,53,-1
